y_x,area
12937_28144,0.0
12937_28145,0.0
12937_28146,1706.8580167284285
12937_28147,2051.4840189708507
12937_28148,0.0
12937_28149,98687.3646025636
12937_28150,4878.83001558154
12938_28144,601.4551638903051
12938_28145,0.0
12938_28146,82.17540616104213
12938_28147,2793.394670640545
12938_28148,228604.7896891618
12938_28149,187661.18463238594
12938_28150,24159.95305529312
12939_28138,38661.77105678424
12939_28139,20667.344346006503
12939_28143,716.352433878666
12939_28144,216.14492254784832
12939_28145,0.0
12939_28146,0.0
12939_28147,3838.4213829186638
12939_28148,27073.811699692465
12939_28149,127519.12615957779
12939_28150,21392.465601625958
12940_28138,27268.655541181874
12940_28139,6452.541908601539
12940_28140,92051.26345245453
12940_28141,325.1980608952809
12940_28142,8099.096175085587
12940_28143,15272.22006561248
12940_28144,0.0
12940_28145,0.0
12940_28146,2014.2725249296066
12940_28147,1246.4858633280044
12940_28148,14267.908517296819
12940_28149,24034.723163878527
12940_28150,4256.789630547653
12941_28138,0.0
12941_28139,82.4080268802178
12941_28140,662698.6726906036
12941_28141,316919.65267600265
12941_28142,10269.635691796544
12941_28143,3987.63199842064
12941_28144,592.8566942666946
12941_28145,1360.1879617245045
12941_28146,4753.5486194816085
12941_28147,5049.181740176126
12941_28148,35723.45208387476
12941_28149,83894.12119965066
12941_28150,23559.188272224164
12941_28151,94607.28206052176
12942_28137,8698.822911048435
12942_28138,2416.546514709883
12942_28139,168.61116924159109
12942_28140,686603.1286425162
12942_28141,1311815.4421061426
12942_28142,116751.39955498127
12942_28143,157154.8189688333
12942_28144,25822.405455354132
12942_28145,10426.773472294191
12942_28146,9927.702290833371
12942_28147,6601.686193248178
12942_28148,7966.62026537086
12942_28149,543788.3934992994
12942_28150,143821.92019846494
12942_28151,217916.43247619143
12942_28152,37790.148724932165
12943_28137,5141.799812125721
12943_28138,1104.1453087241682
12943_28139,58.73997372215493
12943_28140,123147.98410048158
12943_28141,512765.4119471462
12943_28142,536337.7656393029
12943_28143,96369.73161080234
12943_28144,323253.90219471074
12943_28145,132182.5994318531
12943_28146,372.38192894521825
12943_28147,61712.44299438858
12943_28148,40242.95231171199
12943_28149,119210.77920251858
12944_28137,4397.336778618662
12944_28138,0.0
12944_28139,0.0
12944_28140,6735.998922540837
12944_28141,95856.75193632348
12944_28142,452519.0467210559
12944_28143,223252.83602267745
12944_28144,104611.15334366856
12944_28145,2141.040368267104
12944_28146,8778.141146421634
12944_28147,94002.67579422689
12944_28148,39099.13248747379
12945_28137,0.0
12945_28138,36916.1976900363
12945_28139,3210.7591190640937
12945_28140,1827.7012750421127
12945_28141,15307.43142399288
12945_28142,0.0
12945_28143,52.44330602352906
12945_28144,3525.0182193556957
12945_28145,159.9159739008075
12945_28146,11619.6397720142
12945_28147,24443.041535415843
12945_28148,45346.64318519
12946_28133,8193.022307598549
12946_28134,38845.57229877143
12946_28135,217667.8299219939
12946_28136,83366.66748079326
12946_28138,91.61831468045379
12946_28139,0.0
12946_28140,451.7899163203857
12946_28141,18223.346403106418
12946_28142,185.09115894596331
12946_28143,1077.9423067254506
12946_28144,13987.406753585728
12946_28145,1133.3495961854746
12946_28146,1698.794507652388
12946_28147,29425.81811597252
12946_28148,2158.2988745975417
12947_28131,2827.9593035289367
12947_28132,14615.54662324196
12947_28133,10530.717826810966
12947_28134,130191.96641268671
12947_28135,164596.2690159895
12947_28136,11883.833579980936
12947_28138,570.021691140058
12947_28139,1626.1964648486935
12947_28140,28769.157710130083
12947_28141,28875.306500268423
12947_28142,0.0
12947_28143,0.0
12947_28144,9661.550167396415
12947_28145,13554.495180566091
12947_28146,5108.614021126241
12947_28147,44706.49358653861
12947_28148,652.9479034831095
12948_28131,1693.627536586553
12948_28132,19876.60194865784
12948_28133,757345.237424867
12948_28134,547517.7127603644
12948_28135,38243.145228373585
12948_28136,28170.83337116667
12948_28138,2235.626424519304
12948_28139,56900.59011360112
12948_28140,20505.93577829303
12948_28141,15740.707312316961
12948_28142,18847.66380627454
12948_28143,388.9489717627031
12948_28144,5099.186361910384
12948_28145,67.71517480613656
12948_28146,41718.6716169542
12948_28147,31748.944060014022
12948_28148,16048.450751032971
12949_28127,576093.8919819191
12949_28128,6482.434110260147
12949_28129,0.0
12949_28130,3610.3969602211296
12949_28131,0.0
12949_28132,18603.83263725159
12949_28133,1239276.5060983477
12949_28134,1247141.1534435155
12949_28135,19470.633226288017
12949_28136,13141.663582301702
12949_28138,1514.9070925049787
12949_28139,29413.2813202793
12949_28140,24642.9137178704
12949_28141,4883.365642073753
12949_28142,3609.145786093489
12949_28143,0.0
12949_28144,1111.56000189776
12949_28145,2066.233866634468
12949_28146,16412.327479303873
12949_28147,373594.42445879773
12950_28127,975075.5448921642
12950_28128,0.0
12950_28129,47840.674493325154
12950_28130,11113.214733429018
12950_28131,0.0
12950_28132,0.0
12950_28133,1330704.37610552
12950_28134,1458377.4977600225
12950_28135,42460.37166396668
12950_28136,421.03868989247115
12950_28137,133.4616325854351
12950_28138,0.0
12950_28139,1808.619010534042
12950_28140,5153.6202517992715
12950_28141,9451.779141701432
12950_28142,4327.230554610987
12950_28143,8575.120423195098
12950_28144,10137.24769139394
12950_28145,374368.1859020361
12950_28146,31519.59927574958
12950_28147,64374.12312353709
12951_28127,774889.5070091679
12951_28128,182.38821252454682
12951_28129,3673.572206664057
12951_28131,33209.619657553114
12951_28132,1057.2986910345178
12951_28133,1612404.9530895597
12951_28134,1366682.7767043042
12951_28135,68628.79791298427
12951_28136,17599.22073676353
12951_28137,0.0
12951_28139,0.0
12951_28140,4984.0506180645725
12951_28141,2446.95343478332
12951_28142,8082.687213014214
12951_28143,37131.58898599311
12951_28144,51640.56942311249
12951_28145,865999.8857205352
12951_28146,93368.08881936736
12951_28147,213140.32194571657
12952_28126,792202.7573554006
12952_28127,1427510.5838935154
12952_28128,76452.15630930796
12952_28129,2926.4492293766107
12952_28131,6048.711008523494
12952_28132,29863.9059758282
12952_28133,1037261.4480037241
12952_28134,1881872.5211577509
12952_28135,12216.365943530225
12952_28136,343.7463060500904
12952_28137,0.0
12952_28139,0.0
12952_28140,10824.658839551816
12952_28141,381241.8264188976
12952_28142,12662.567318010666
12952_28143,0.0
12952_28144,333132.4986348044
12952_28145,958757.5020456185
12952_28146,233313.52704496324
12952_28147,22466.95760616761
12953_28126,1486315.8461425197
12953_28127,2367915.997836829
12953_28128,0.0
12953_28129,0.0
12953_28130,225.05838303242078
12953_28131,2397.3712140192833
12953_28132,205320.03722180796
12953_28133,1966188.8647566056
12953_28134,1703478.1659134994
12953_28135,0.0
12953_28136,148375.58079044786
12953_28137,283983.3090035439
12953_28138,8060.5276137702685
12953_28139,561105.299449913
12953_28140,989596.1328101208
12953_28141,29649.030775477906
12953_28142,17386.623213610626
12953_28143,6832.570014265221
12953_28144,1978.0339950139066
12953_28145,316337.05788313056
12953_28146,16145.615470870876
12953_28147,7215.846403535551
12954_28120,121167.69081470119
12954_28121,63258.4435083111
12954_28123,77524.61180780851
12954_28124,197580.4048795006
12954_28126,1306037.646462841
12954_28127,348045.58099452034
12954_28128,0.0
12954_28129,5036.009213818692
12954_28130,1155.990826957273
12954_28133,3607563.3059763983
12954_28134,1497812.947170164
12954_28135,121210.32897080848
12954_28136,1043656.6081500462
12954_28137,54259.699860681154
12954_28138,7227.667867876054
12954_28139,703257.558151389
12954_28140,406425.610387606
12954_28141,0.0
12954_28142,131.74215616954848
12954_28143,969.5702769068233
12954_28144,2549.502198538607
12954_28145,23530.284967870626
12954_28146,169337.83468490714
12955_28117,69374.44783050673
12955_28118,61047.986911401604
12955_28119,170434.1513322301
12955_28120,157390.09325751493
12955_28121,214485.65391746355
12955_28122,232037.97152456304
12955_28123,177742.1066211198
12955_28124,324864.8640946746
12955_28126,1314069.5087896995
12955_28127,1309882.0449934532
12955_28128,887245.5968959206
12955_28129,422648.60569376865
12955_28131,283768.546536308
12955_28132,1533409.9538451275
12955_28133,2158509.909995611
12955_28136,861446.1181761249
12955_28137,384038.769920792
12955_28138,6853.718883052899
12955_28139,396.1918898522081
12955_28141,1552.7862398587245
12955_28142,431.05263121271884
12955_28143,7547.8664266588485
12955_28144,17474.166552921193
12955_28145,1897.2083261392584
12956_28115,37652.10606455012
12956_28116,29348.386891614267
12956_28117,31680.1828978682
12956_28118,66634.20776461669
12956_28119,100000.12392914144
12956_28120,172561.08075630566
12956_28121,5568.305000893011
12956_28122,4392.5171025357095
12956_28123,127253.59628353828
12956_28124,46467.21523294043
12956_28125,952441.0640759768
12956_28126,205593.72516362192
12956_28127,219567.0988009802
12956_28128,1629261.9910953837
12956_28129,915220.7115405354
12956_28130,443241.0916648178
12956_28131,1439739.3034012576
12956_28132,2799358.2589739985
12956_28133,2096065.4006641074
12956_28134,1150490.1506792866
12956_28135,1343564.9215405774
12956_28136,1636902.942561245
12956_28137,1114536.9701597583
12956_28138,132466.24940380955
12956_28139,0.0
12956_28140,3996.3772339121892
12956_28141,0.0
12956_28142,0.0
12956_28143,112.52182946240606
12956_28144,264742.566687289
12956_28145,100795.79432941937
12957_28115,1133.5914979432644
12957_28116,181049.2427038093
12957_28117,50367.215062112635
12957_28118,11437.894545870264
12957_28119,98919.0402849016
12957_28120,23608.829535726836
12957_28121,47197.170049544024
12957_28122,41211.83083056597
12957_28123,2912.056915758854
12957_28125,1377220.197434154
12957_28126,605355.3470009472
12957_28127,259511.5341920645
12957_28128,0.0
12957_28134,1823892.025977835
12957_28135,2311007.6550867455
12957_28137,1920756.374508817
12957_28138,481410.70144933724
12957_28139,0.0
12957_28140,4607.001163874329
12957_28141,4767.743416585794
12957_28142,2892.973300932933
12957_28143,0.0
12957_28144,81128.47096779163
12957_28145,382298.8397742821
12958_28115,13987.168964073056
12958_28116,37275.6836468939
12958_28117,83453.3049100453
12958_28118,80596.3001485698
12958_28119,19298.777911104018
12958_28120,0.0
12958_28121,50329.560725540316
12958_28122,13599.396269190604
12958_28123,154486.91715978202
12958_28124,1043266.8941335691
12958_28125,390507.0882298463
12958_28128,0.0
12958_28129,38872.441893278585
12958_28130,231099.19096223923
12958_28131,1091764.349955998
12958_28132,1196989.4233832643
12958_28133,1222795.8700443015
12958_28134,1156960.6681794245
12958_28137,2021846.5073831668
12958_28138,128049.01358292815
12958_28139,0.0
12958_28140,1064.6495421111895
12958_28141,3.5087488741765656
12958_28142,0.0
12958_28143,46360.78760865795
12958_28145,419751.1752405151
12959_28115,17593.164979950674
12959_28116,44299.16809572576
12959_28117,6158.305762480125
12959_28118,139866.50820493314
12959_28119,41839.16400932589
12959_28120,0.0
12959_28121,259397.17002444225
12959_28123,346409.31164711626
12959_28124,1132418.8790015795
12959_28125,99075.4745559067
12959_28126,4070.372902387171
12959_28127,0.0
12959_28128,143195.12422607973
12959_28129,105234.41698428779
12959_28130,651652.5442050314
12959_28131,740764.8927925137
12959_28133,636873.1145136283
12959_28134,515625.8340823889
12959_28137,2015895.281172911
12959_28138,99266.93213042188
12959_28139,1045.1023392639124
12959_28140,653.4655786356152
12959_28141,2396442.2637678995
12959_28142,1112350.3209984223
12959_28143,286014.2679122133
12960_28114,1980.213968473674
12960_28115,24004.69854282089
12960_28116,59946.48511369258
12960_28117,21149.623265285438
12960_28118,58939.085036114695
12960_28119,53182.73734819006
12960_28120,18900.04123217848
12960_28121,459738.27723760385
12960_28123,436053.38147471956
12960_28124,1410335.8332862528
12960_28125,497969.8898224318
12960_28127,1332.5479949816956
12960_28128,732374.1379195668
12960_28129,678868.8359569219
12960_28130,790162.7023202281
12960_28131,634367.9446741913
12960_28132,750821.0715777602
12960_28135,1492590.8828610347
12960_28136,2033463.5719740938
12960_28137,3921619.8174256417
12960_28138,2316525.004384555
12960_28139,324530.3566648987
12960_28140,963015.9309369114
12960_28141,3124386.9664490568
12960_28142,3381906.069452609
12961_28112,189732.11128912785
12961_28113,185224.1481533397
12961_28114,0.0
12961_28115,30207.847974072287
12961_28116,35672.23818248763
12961_28117,72407.7334371037
12961_28118,59257.9647903754
12961_28119,30981.610948040277
12961_28120,100982.48474346883
12961_28121,335983.1953463271
12961_28123,316312.0271487084
12961_28124,1282365.2782076458
12961_28125,173288.94385438092
12961_28126,40553.32650997357
12961_28127,92163.79970460928
12961_28128,530484.1007658597
12961_28129,499543.93356301286
12961_28130,1671759.4201694785
12961_28131,1540612.176601699
12961_28132,315866.1686487491
12961_28135,1211530.6857830673
12961_28136,2439413.4996213936
12961_28137,1670559.9538908792
12961_28138,1661982.0152267925
12961_28139,3401886.397863064
12961_28141,805863.5803059449
12961_28142,2011777.1828741059
12962_28108,237631.51894166844
12962_28109,427508.9826482472
12962_28110,718485.0121721841
12962_28111,536639.4542471905
12962_28112,327733.8620050593
12962_28113,325166.7155313037
12962_28114,24578.978684397232
12962_28115,60340.60840346405
12962_28116,3754.537251901156
12962_28117,29296.462637387358
12962_28118,89879.83114479498
12962_28119,44840.68592467396
12962_28120,130618.66861154801
12962_28121,89634.73182636342
12962_28123,551053.5177932237
12962_28124,1142032.8585557523
12962_28125,1154139.616113468
12962_28126,1123800.8342366666
12962_28128,930580.7657940232
12962_28129,564192.8167741229
12962_28130,846115.7533790825
12962_28131,2323783.947766425
12962_28133,476983.275472703
12962_28134,271745.8732259689
12962_28135,732419.8899466406
12962_28136,1839043.1069797475
12962_28137,371524.9314062782
12963_28108,0.0
12963_28109,247533.07990377012
12963_28110,429306.0798037287
12963_28111,23085.946484406795
12963_28112,81530.53794274051
12963_28113,95079.55337994637
12963_28114,240771.07431915068
12963_28115,60015.29742423763
12963_28116,12755.448945113301
12963_28117,31699.85161222596
12963_28118,33965.77973039801
12963_28119,49837.203543361495
12963_28120,139759.32428135333
12963_28121,83715.63714887011
12963_28123,616305.2793593967
12963_28124,1072200.49436731
12963_28125,285666.6396229762
12963_28127,228410.74696007173
12963_28128,71426.51776974119
12963_28129,143863.570392281
12963_28132,1194009.1883551802
12963_28133,263092.87239048374
12963_28134,373856.4361762426
12963_28136,1570160.6111504722
12964_28110,199.46646788728845
12964_28111,1242.9093633814553
12964_28112,248560.68269195003
12964_28113,84691.24694398965
12964_28114,288646.7239287052
12964_28115,260680.3489031965
12964_28116,13408.781543215138
12964_28117,18531.919434874384
12964_28118,69752.98723072011
12964_28119,65590.52064746912
12964_28120,116872.87494985705
12964_28121,1608.2288261957913
12964_28123,829385.2077374394
12964_28124,140151.78759703695
12964_28125,234010.80444467143
12964_28129,203428.68680351911
12964_28130,1458032.2235115818
12964_28132,545251.5451076983
12964_28133,567491.1457023039
12964_28134,1065342.105864539
12964_28135,833116.9065312454
12965_28111,23954.14544285355
12965_28112,435993.5314168425
12965_28113,88549.06656063892
12965_28114,0.0
12965_28115,604.6716082685746
12965_28116,33011.80766811087
12965_28117,20823.761476052438
12965_28118,38042.01225949707
12965_28119,24913.686067076764
12965_28120,49776.662880276934
12965_28123,1144813.2025101366
12965_28124,1704.1506708988613
12965_28126,102788.49116843047
12965_28127,75569.77474211072
12965_28129,1867352.5159532398
12965_28130,618378.1805609972
12965_28132,271187.5335730238
12965_28133,470165.4372436754
12965_28134,332938.9612903991
12965_28135,274408.90465807304
12965_28136,192285.58713121535
12966_28112,3771.8572264593877
12966_28113,19350.20917434321
12966_28114,198027.26151042132
12966_28115,255943.87608726148
12966_28116,33747.441177316134
12966_28117,49032.396895782214
12966_28118,141574.93539560234
12966_28119,138218.69492252724
12966_28123,15537.797234709218
12966_28124,15014.264743032674
12966_28125,1450.1182358503634
12966_28126,390679.3048815695
12966_28127,198239.93312818446
12966_28133,401985.6210529704
12966_28134,267108.0252397461
12966_28135,419477.4519856452
12966_28136,368664.26661957294
12967_28111,29135.026821931788
12967_28112,4470.980828506905
12967_28113,4820.071130846242
12967_28114,510899.78418948705
12967_28117,13645.972116289347
12967_28118,21411.999023517823
12967_28119,160285.37536593244
12967_28122,1467704.5976767982
12967_28123,1300711.10866503
12967_28124,378414.8790673376
12967_28125,386819.53845468955
12967_28127,1305299.2304224805
12967_28128,889566.2178895017
12967_28129,626001.0960561137
12967_28134,23092.359825790536
12967_28135,103711.14801526477
12967_28136,254136.23436965872
12968_28111,659848.094418935
12968_28112,678976.6810317845
12968_28113,637218.6604514085
12968_28114,339423.7004744325
12968_28117,8963.130020001772
12968_28118,854550.1127981243
12968_28122,932526.4244177528
12968_28123,727915.5342820978
12968_28124,1122106.6982692657
12968_28125,1362313.1320011136
12968_28126,30106.168378057013
12968_28135,0.0
12969_28111,980501.7389043414
12969_28112,1051718.3496606268
12969_28113,686511.4785185382
12969_28114,1212685.5507590636
12969_28117,449248.42786808
12969_28122,707301.3475390482
12969_28123,1055595.4564464495
12969_28124,369504.84468863846
12969_28125,564951.1259969594
12969_28127,270249.3197319516
12969_28129,2036698.2258285892
12969_28130,631382.256764815
12969_28131,1102680.3038607494
12970_28122,646643.7986851162
12970_28123,1307313.4688412792
